obj,bjd,rv,rverr,exptime,fwhm,bis,tel,snr
HIP28066          ,2456299.64115337,0.41402614633357,0.0007593445677614,400.0008,6.88403042852832,-0.0222091003885818,HARPS-B,85.1
HIP28066          ,2456299.64619951,0.414358888177373,0.0007342946264103,400.0006,6.88406415170673,-0.0221175633946972,HARPS-B,87.8
HIP28066          ,2456300.60953761,0.411775760739305,0.000518599679903,400.0011,6.88456052662755,-0.0211867888846413,HARPS-B,122.8
HIP28066          ,2456300.61452588,0.410951055861843,0.0005152777082125,400.0012,6.88502158165897,-0.0218613988400594,HARPS-B,123.7
HIP28066          ,2456375.50935055,0.413147738159637,0.0004987987503201,400.0009,6.88522329389691,-0.019993832122282,HARPS-B,126.9
HIP28066          ,2456375.51439635,0.414774106896404,0.0004864220956667,400.0008,6.88614493749124,-0.0220558902541556,HARPS-B,130.4
HIP28066          ,2456376.50763233,0.414804648775091,0.0006768235432223,400.0009,6.88565643522737,-0.0232644385990166,HARPS-B,95.4
HIP28066          ,2456376.51263184,0.414788912144138,0.0005759598669357,400.0007,6.88520553720328,-0.0205221564405178,HARPS-B,111.4
HIP28066          ,2456377.5099185,0.416118263899162,0.00059268272007,400.0011,6.88676148680689,-0.020229950055634,HARPS-B,107.8
HIP28066          ,2456377.51486014,0.416331231741198,0.0005691881395342,400.0008,6.88597180681291,-0.0197765778316295,HARPS-B,112.6
HIP28066          ,2456378.51331586,0.415655915347777,0.0005230423262083,400.0007,6.88206198092587,-0.0205854540762094,HARPS-B,120.9
HIP28066          ,2456378.5181765,0.416055886563768,0.000500379876514,400.001,6.88523436584894,-0.0215025321938894,HARPS-B,126.6
HIP28066          ,2456379.49067431,0.415546924168982,0.0005752506797702,400.001,6.88402633426779,-0.0230071449193613,HARPS-B,111.1
HIP28066          ,2456379.49573168,0.415900545069778,0.0006027816749554,400.0011,6.8858909411786,-0.0184270988591198,HARPS-B,106.0
HIP28066          ,2456380.51616488,0.415169936991906,0.0005728578089558,400.0009,6.88023757679552,-0.021020436816119,HARPS-B,110.2
HIP28066          ,2456380.52125698,0.415091933629349,0.00060562029786,400.0009,6.88115243795994,-0.0201287331307962,HARPS-B,104.4
HIP28066          ,2456381.5005949,0.415320064288239,0.0005033711532999,400.0006,6.88380030874117,-0.0228247679080845,HARPS-B,126.3
